SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
1,Autauga County,Alabama,907,"55,514","Montgomery, AL Metropolitan Statistical Area",
2,Baldwin County,Alabama,332,"190,790","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area","Mobile-Daphne-Fairhope, AL Combined Statistical Area"
3,Barbour County,Alabama,1523,"27,201",,
4,Bibb County,Alabama,1707,"22,597","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
5,Blount County,Alabama,882,"57,826","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
6,Bullock County,Alabama,2397,"10,474",,
7,Butler County,Alabama,1825,"20,307",,
8,Calhoun County,Alabama,518,"117,296","Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",
9,Chambers County,Alabama,1327,"34,064","Valley, AL Micropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
10,Cherokee County,Alabama,1562,"26,021",,
11,Chilton County,Alabama,1090,"43,819","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
12,Choctaw County,Alabama,2206,"13,633",,
13,Clarke County,Alabama,1601,"25,161",,
14,Clay County,Alabama,2217,"13,435",,
15,Cleburne County,Alabama,2122,"14,832",,
16,Coffee County,Alabama,965,"51,252","Enterprise, AL Micropolitan Statistical Area","Dothan-Enterprise-Ozark, AL Combined Statistical Area"
17,Colbert County,Alabama,918,"54,446","Florence-Muscle Shoals, AL Metropolitan Statistical Area",
18,Conecuh County,Alabama,2241,"12,981",,
19,Coosa County,Alabama,2362,"10,966","Talladega-Sylacauga, AL Micropolitan Statistical Area","Birmingham-Hoover-Talladega, AL Combined Statistical Area"
20,Covington County,Alabama,1225,"37,955",,
21,Crenshaw County,Alabama,2169,"14,083",,
