city,state,county,name,zip,state2,address,phone
Daphne,AL,baldwin,Daphne Dog Park,36526,al,8600 Whispering Pines Road,251-621-3703
Fairhope,AL,baldwin,Fairhope Dog Park,36532,al,701 Volanta Avenue,251-990-0174
Gulf Shores,AL,baldwin,Gulf Shores Dog Park,36542,al,308 Clubhouse Drive,251-968-2431
Orange Beach,AL,baldwin,Unleashed in Orange Beach Dog Park,36561,al,27920 Canal Road,251-981-6979
Fultondale,AL,jefferson,Fultondale Bark Park,35068,al,2398 Stouts Road,205-841-4481
Hoover,AL,jefferson,Loch Haven Dog Park,35216,al,Loch Haven Drive,205-444-7510
Birmingham,AL,jefferson,Remy's Dog Park,35211,al,2011 Frankfurt Drive,205-202-6043
Madison,AL,madison,Dog Spot Dog Park,35758,al,360 Harvestwood Court,256-564-8026
Madison,AL,madison,Indian Creek Dog Park,35758,al,360 Harvestwood Court,
Madison,AL,madison,Mill Creek Dog Park,35758,al,38 Balch Road,256-772-2553
Mobile,AL,mobile,Julien Marx Dog Park,36695,al,1711 Hillcrest Road,
Birmingham,AL,shelby,Cahaba Beach Dog Park,35242,al,3557 Cahaba Beach Road,205-397-3647
Tuscaloosa,AL,tuscaloosa,Will May Memorial Dog Park,35406,al,6198 Watermelon Road,205-361-2258
Anchorage,AK,anchorage,Chugiak Dog Park,99567,ak,19926 Tenada Avenue,907-390-7015
Anchorage,AK,anchorage,Connors Bog Dog Park,99502,ak,3608 Jewel Lake Road,
Anchorage,AK,anchorage,University Lake Dog Park,99508,ak,4050 University Lake Drive,907-343-8119
Fairbanks,AK,fairbanks,Fairbanks Dog Park,99701,ak,2nd Avenue,
Peoria,AZ,maricopa,Alta Vista Dog Park,85383,az,10631 West Williams Road,
Gilbert,AZ,maricopa,Cosmo Dog Park,85296,az,2502 East Ray Road,480-503-6200
Mesa,AZ,maricopa,Countryside Dog Park,85204,az,3130 East Southern Avenue,480-644-4271
Fountain Hills,AZ,maricopa,Desert Vista Dog Park,85268,az,11800 Desert Vista,480-816-5151
El Mirage,AZ,maricopa,El mirage Dog Park,85335,az,10100 North El Mirage Road,623-876-2977
Fountain Hills,AZ,maricopa,Fountain Hills Dog Park,85268,az,11800 Desert Vista,480-816-5151
Phoenix,AZ,maricopa,Friends of Hance Dog Park,85003,az,323 West Culver Street,623-850-4716
Goodyear,AZ,maricopa,Goodyear Dog Park,85338,az,Roeser Road,623-882-7525
Phoenix,AZ,maricopa,Grover's Basin Dog Park,85022,az,East Grovers Avenue,602-262-6696
Phoenix,AZ,maricopa,Grovers Basin Dog Park,85022,az,17445 North 20th Street,
Scottsdale,AZ,maricopa,McKellips Dog Park,85257,az,7701 East McKinley Street,
