city,state,county,name,zip,state2,address,phone
Autaugaville,AL,autauga,Autaugaville Volunteer Fire Department,36003,al,2710 Highway 14,334-361-6551
Billingsley,AL,autauga,Billingsley Volunteer Fire Department,36006,al,2161 County Road 37,205-755-4438
Booth,AL,autauga,Booth Volunteer Fire Department,36008,al,1701 County Road 10,334-358-1505
Prattville,AL,autauga,Independence Volunteer Fire,36067,al,1702 Alternate Route Route County Road 40 West,334-358-1153
Jones,AL,autauga,Jones Volunteer Fire Department,36749,al,464 County Road 83,334-877-9913
Prattville,AL,autauga,Pine Level Volunteer Fire Department,36066,al,109 Co Road 40 East,334-358-0202
Prattville,AL,autauga,Prattville Fire Department,36067,al,102 West Main Street,334-361-3660
Marbury,AL,autauga,White City Volunteer Fire Department,36051,al,1151 County Road 49,334-358-7169
Fairhope,AL,baldwin,Barnwell Volunteer Fire Department,36532,al,8587 U.s. 98,251-928-9732
Bay Minette,AL,baldwin,Bay Minette Fire Department,36507,al,608 D'Olive Street,251-580-1617
Daphne,AL,baldwin,Belforest Volunteer Fire Search & Rescue,36526,al,25490 County Road 54,251-626-8020
Foley,AL,baldwin,Bon Secour Volunteer Fire - Rescue,36535,al,7392 County Road 65,251-949-6644
Daphne,AL,baldwin,Daphne Fire Department,36526,al,28280 North Main Street,251-621-2836
Elberta,AL,baldwin,Elberta Volunteer Fire Department,36530,al,13120 Illinois Street,251-987-5107
Fairhope,AL,baldwin,Fairhope Volunteer Fire Department,36532,al,198 South Ingleside Street,251-990-0143
Summerdale,AL,baldwin,Fish River Marlow Fire & Rescue Department,36580,al,13355 County Road 32,251-988-8127
Foley,AL,baldwin,Foley Fire Inspector,36535,al,120 West Verbena Avenue,251-943-1266
Gulf Shores,AL,baldwin,Fort Morgan Volunteer Fire Dpt,36542,al,12105 Highway 180,251-540-7500
Robertsdale,AL,baldwin,Gateswood Volunteer Fire Department,36567,al,33014 County Road 112,251-931-3563
Gulf Shores,AL,baldwin,Gulf Shores Fire Rescue,36542,al,1921 West 1st Street,251-968-7422
