city,state,county,name,zip,state2,address,phone
Autaugaville,AL,autauga,Autaugaville Police Department,36003,al,109 North Taylor Street,334-365-9335
Prattville,AL,autauga,Prattville Police Department,36067,al,101 West Main Street,334-595-0200
Bay Minette,AL,baldwin,Bay Minette Police Department,36507,al,300 North Hoyle Avenue,251-580-2559
Daphne,AL,baldwin,Daphne Police Department,36526,al,1502 U.s. 98,251-621-9100
Elberta,AL,baldwin,Elberta Police Department,36530,al,13125 Chicago Street,251-986-5300
Fairhope,AL,baldwin,Fairhope Police Department,36532,al,107 North Section Street,251-928-2385
Foley,AL,baldwin,Foley Police Department,36535,al,200 East Section Avenue,251-943-4431
Gulf Shores,AL,baldwin,Gulf Shores Police Department,36542,al,220 Clubhouse Drive,251-968-2431
Loxley,AL,baldwin,Loxley Police Department,36551,al,2139 West Relham Drive,251-964-6000
Robertsdale,AL,baldwin,Robertsdale Police Department,36567,al,23335 Chicago Street,251-947-2222
Silverhill,AL,baldwin,Silverhill Police Department,36576,al,22030 6th Street,251-945-5200
Spanish Fort,AL,baldwin,Spanish Fort City Clerk,36527,al,7581 Spanish Fort Boulevard,251-626-4884
Summerdale,AL,baldwin,Summerdale Police Department,36580,al,206 Northwest 1st Street,251-989-6446
Clayton,AL,barbour,Clayton Police Department,36016,al,6 South Midway Street,334-775-8011
Clio,AL,barbour,Clio Police Department,36017,al,3311 Elamville Street,334-397-4402
Eufaula,AL,barbour,Eufaula Police Department,36027,al,545 East Barbour Street,334-687-1200
Louisville,AL,barbour,Louisville Police Department,36048,al,1951 Main Street,334-266-5210
Centreville,AL,bibb,Centreville Police Department,35042,al,1254 Walnut Street,205-926-3129
Woodstock,AL,bibb,Woodstock Police Department,35188,al,27451 Highway 5,205-938-9790
Blountsville,AL,blount,Blountsville Police Department,35031,al,171 Water Street,205-429-2407
Cleveland,AL,blount,Cleveland Town Hall,35049,al,62732 U.s. 231,205-274-9640
Oneonta,AL,blount,Oneonta Police Department,35121,al,302 2nd Street North,205-625-4361
Snead,AL,blount,Snead Police Department,35952,al,87169 U.s. 278,205-466-5900
Union Springs,AL,bullock,Union Springs Police Department,36089,al,305 North Prairie Street,334-738-3131
Georgiana,AL,butler,Georgiana Police Department,36033,al,400 East Railroad Avenue,334-376-2222
Greenville,AL,butler,Greenville City Police Department,36037,al,119 East Commerce Street,334-382-7461
Anniston,AL,calhoun,Anniston Police Department,36201,al,1200 Gurnee Avenue,256-238-1800
Anniston,AL,calhoun,Hobson City Police Department,36201,al,610 Martin Luther King Drive,256-831-0445
Jacksonville,AL,calhoun,Jacksonville Jail,36265,al,116 Ladiga Street Southeast,256-435-6448
Ohatchee,AL,calhoun,Ohatchee Police Department,36271,al,7801 Alabama 77,256-892-3156
Oxford,AL,calhoun,Oxford Police Department,36203,al,600 Stanley Merrill Drive,256-831-3121
Piedmont,AL,calhoun,Piedmont Police Department,36272,al,116 West Ladiga Street,256-447-9091
Weaver,AL,calhoun,Weaver Police Department,36277,al,500 Anniston Street,256-820-1121
La Fayette,AL,chambers,Lafayette Police Department,36862,al,50 Alabama Avenue West,334-864-7243
Lanett,AL,chambers,Lanett Police Department,36863,al,401 North Lanier Avenue,334-644-2146
Valley,AL,chambers,Valley Police Department,36854,al,20 Fob James Drive,334-756-5200
